ID,Name,Handle,TweetText,TweetCreateTime
1.28E+18,Anushka Sharma,AnushkaSharma,The cool breeze  the steady waves  some sand on my skin  the sun on back and salty hair  It was a good day  VOGUEIndia httpstcogP1MOWwHBP,10072020 1135
1.28E+18,Anushka Sharma,abza4x,AnushkaSharma VOGUEIndia Uffffff,11072020 0715
1.28E+18,Anushka Sharma,GuruWhale0,AnushkaSharma VOGUEIndia yeh kya pahnahe hum machli pakarte hai isse,10072020 1201
1.28E+18,Anushka Sharma,PramodK78264248,AnushkaSharma VOGUEIndia Easy for shopping time no,10072020 1517
1.28E+18,Anushka Sharma,inirmalsp,AnushkaSharma VOGUEIndia My Bhabhi u beauty ,10072020 1452
1.28E+18,Anushka Sharma,Biswa32795681,AnushkaSharma VOGUEIndia  kya he ye,10072020 1209
1.28E+18,Anushka Sharma,youwedouble,AnushkaSharma VOGUEIndia ,10072020 1540
1.28E+18,Anushka Sharma,Preeti54123590,AnushkaSharma VOGUEIndia Looking dashing love new look,10072020 1748
1.28E+18,Anushka Sharma,RockDeadSoul,AnushkaSharma VOGUEIndia ,10072020 1216
1.28E+18,Anushka Sharma,CrazyKathir007,AnushkaSharma VOGUEIndia Oh Yeah,10072020 1336
1.28E+18,Anushka Sharma,Undercoverrowan,AnushkaSharma VOGUEIndia Hinduphobic Vile Snake,10072020 1139
1.28E+18,Anushka Sharma,dmurukesh,AnushkaSharma VOGUEIndia Nice cute photo  Keep rocking,10072020 1206
1.28E+18,Anushka Sharma,NehaAlbeli1,AnushkaSharma VOGUEIndia Kaha ki cool breeze Aakar dekh kitni garmi and humidity hai Insaan maara ja raha hai Tumhe cool breeze lag rahi hai,10072020 1151
1.28E+18,Anushka Sharma,IjareSonali,AnushkaSharma VOGUEIndia ,10072020 1237
1.28E+18,Anushka Sharma,aarshg28,AnushkaSharma VOGUEIndia Sis you just keep getting more and more gorgeous everyday  httpstcoVXcuV5FwrT,10072020 1249
1.28E+18,Anushka Sharma,IamRahulG007,"AnushkaSharma VOGUEIndia For a good dayitna sab Kuch bol Diya
Now its a good day",10072020 1143
1.28E+18,Anushka Sharma,AmarUtd8,AnushkaSharma VOGUEIndia Super hot ,10072020 1656
1.28E+18,Anushka Sharma,TheincompleteM1,AnushkaSharma VOGUEIndia Wahiaad,10072020 1152
1.28E+18,Anushka Sharma,REALIK16,AnushkaSharma VOGUEIndia  Oh hahha aa ki bhrjayi lfafa,10072020 1143
1.28E+18,Anushka Sharma,shyamsundar21,AnushkaSharma VOGUEIndia Yuk,10072020 1142
1.28E+18,Anushka Sharma,KaluSeendhal,AnushkaSharma VOGUEIndia ,10072020 1326
1.28E+18,Anushka Sharma,TusharDwivediS,AnushkaSharma VOGUEIndia ab yehi reh gya hain dekhne ko,10072020 1136
1.28E+18,Anushka Sharma,samadsrk15,AnushkaSharma VOGUEIndia  AnushkaSharma,10072020 1136
1.28E+18,Anushka Sharma,Pushpen23230945,AnushkaSharma VOGUEIndia Ayeeeeeeee koliiiiiiiii,10072020 1151
1.28E+18,Anushka Sharma,kaushaldkd,AnushkaSharma VOGUEIndia Mask kaha hain   aur lockdown mei photoshoot huh ,10072020 1138
1.28E+18,Anushka Sharma,itsGenius,AnushkaSharma VOGUEIndia httpstcoPcFlrAhoUE,10072020 1138
1.28E+18,Anushka Sharma,AlokKumar22,AnushkaSharma VOGUEIndia                    ,11072020 0730
1.28E+18,Anushka Sharma,sanujlodhi,AnushkaSharma VOGUEIndia httpstcokO061Z7AV5,12072020 0920
1.28E+18,Anushka Sharma,DhamaalN,AnushkaSharma VOGUEIndia Beauty full india ki naari,10072020 1136
1.28E+18,Anushka Sharma,DhamaalN,AnushkaSharma VOGUEIndia Khubsurat Bharat ki nari,10072020 1137
1.28E+18,Anushka Sharma,SonalSh28332585,"AnushkaSharma VOGUEIndia Who is she  Well I dont knw Anyone who knw her Well whoever u re I dont find u cool 
CBIForSonOfBihar",10072020 1140
1.28E+18,Anushka Sharma,81888,AnushkaSharma VOGUEIndia she now full plastic,10072020 2013
1.28E+18,Anushka Sharma,Pavithr38767007,AnushkaSharma VOGUEIndia httpstcoiQczb7jUAS,10072020 1310
1.28E+18,Anushka Sharma,NoorMuh86332793,AnushkaSharma VOGUEIndia Love From Pakistan ,10072020 1959
1.28E+18,Anushka Sharma,jp06677,AnushkaSharma VOGUEIndia And this is some designer outfit ,11072020 0543
1.28E+18,Anushka Sharma,ppshahiBjp,AnushkaSharma VOGUEIndia ,10072020 1357
1.28E+18,Anushka Sharma,MizbaMukarram,AnushkaSharma VOGUEIndia Bachpan me machar se bachne k liye aisi hi jaali use karte the,10072020 1138
1.28E+18,Anushka Sharma,AshwathamaSays,AnushkaSharma VOGUEIndia Machhardani ultra pro max,10072020 1157
1.28E+18,Anushka Sharma,ImTapasSarkar,AnushkaSharma VOGUEIndia Lovely ,10072020 1136
1.28E+18,Anushka Sharma,ParbatSinghDe10,AnushkaSharma VOGUEIndia Virat ka name kharab mt kro,10072020 1302
1.28E+18,Anushka Sharma,Msm61401886,AnushkaSharma VOGUEIndia Lovely ,10072020 1203
1.28E+18,Anushka Sharma,Suhail8433,AnushkaSharma VOGUEIndia Love,10072020 1136
1.28E+18,Anushka Sharma,Uday01051996,AnushkaSharma VOGUEIndia ye kya hai,10072020 1140
1.28E+18,Anushka Sharma,Uday01051996,AnushkaSharma VOGUEIndia sb enjoy kr rhi hai ye bollywood gang but hmne bhi kasam khai sushant sir ko insaaf milega but ab tumhari koi movie nai chalegi sb flop hogi kuki hm ab movie ni dekhnege  BoycottBollywoodNepotism justiceforSushantforum CBIEnquiryForSSR BoycottKhans,10072020 1142
1.28E+18,Anushka Sharma,xpd02307,AnushkaSharma VOGUEIndia Tumlog bas ahi karo pisa pisa pisa,10072020 1208
1.28E+18,Anushka Sharma,JoySingh84,AnushkaSharma VOGUEIndia Slave of movie mafia,10072020 1258
1.28E+18,Anushka Sharma,AnilRaj47867154,AnushkaSharma VOGUEIndia Are mem kuchh sushant singh rajpoot sir ke liye bol dete,10072020 1701
1.28E+18,Anushka Sharma,ShahariyarAl,AnushkaSharma VOGUEIndia Shame on virushka,11072020 0043
1.28E+18,Anushka Sharma,AashnaJyoti,AnushkaSharma VOGUEIndia Beautiful ,11072020 1348
1.30E+18,Anushka Sharma,Vikasdubey9988,AnushkaSharma VOGUEIndia Awesome ,27082020 1028
1.37E+18,Anushka Sharma,riaztalukder04,AnushkaSharma VOGUEIndia Awesome ,17032021 1545
1.28E+18,Anushka Sharma,DigarseUpasna,AnushkaSharma VOGUEIndia ,10072020 1136
1.28E+18,Anushka Sharma,narinde58627153,AnushkaSharma VOGUEIndia Polio hua hai ,10072020 1219
1.28E+18,Anushka Sharma,ankushuppi1,AnushkaSharma VOGUEIndia Darling ,10072020 1138
1.28E+18,Anushka Sharma,Pushpen23230945,AnushkaSharma VOGUEIndia Get well soon Didi,10072020 1150
1.28E+18,Anushka Sharma,Mahii001,AnushkaSharma VOGUEIndia BC ye kya bakwas hai,10072020 1244
1.28E+18,Anushka Sharma,sahhilrocks,AnushkaSharma VOGUEIndia Nice Net ,11072020 0415
1.28E+18,Anushka Sharma,kpandit76,AnushkaSharma VOGUEIndia u r my fav sharmaji keep rocking,10072020 1821
1.28E+18,Anushka Sharma,fahadlicious,AnushkaSharma VOGUEIndia ,11072020 0101
